;;N°;;;Type;Date;Date;;;;;;;;;;
N° mandant;Nom court mandant;Mandataire;Nom court mandataire;PM/PP;mandat;attribution;résiliation;Motif attribution mandat;Nom contact chez le mandataire;Prénom contact;Téléfon contact;Fax contact;N° CCP;N° compte bancaire;IBAN;BIC SWIFT;Nom institution financière
-----------;------------------------------;-----------;------------------------------;-----;------;-----------;-----------;----------------------------------------;------------------------------;--------------------;----------------;----------------;---------------;--------------------;----------------------------------------;------------;--------------------------------------------------
10506;ROBERTO GIORI COMPAGNY;16291;ETUDE OBERSON AVOCATS;ETA;G;01.01.2006;31.12.2014;;;;021 324'75'00;021 321'75'01;;;-;-;-
10506;ROBERTO GIORI COMPAGNY;24565;OBERSON ABELS;ETA;G;01.01.2015;;;;;;;;;;;
10686;DELEDERRAY ERNEST;16401;BFB FIDAM REVISION;ENT;G;01.01.2010;31.12.2014;;;;;;;;;;
10686;DELEDERRAY ERNEST;16314;BFB CONSEIL FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
10800;FINAZUR HOLDING;60;FIDUCIAIRE DREYFUS & ZURBUCHEN;ENT;G;01.01.2014;31.12.2014;;;;021 321'65'65;;;;;;
10977;DIAGEO SUISSE;7062;ERNST & YOUNG LAUSANNE;ETA;G;01.01.2016;;;;;;;;;;;
11040;SARGENT & GREENLEAF;13162;FIDEXTRA FIDUCIAIRE;ENT;G;28.07.1995;31.12.2014;;;;021 948'90'24;021 948'90'68;;;-;-;-
11040;SARGENT & GREENLEAF;7864;ERNST & YOUNG ZURICH;ETA;G;01.01.2015;;;;;;;;;;;
11117;SBRESSA JEAN;69381;TDS FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
11170;BOLLIGER & MABILLARD;13;FIDUCONSULT LAUSANNE;ENT;G;01.01.2015;;;;;;;;;;;
11235;CIMIC;14790;MAZARS LAUSANNE;ETA;G;01.01.2015;;;;;;;;;;;
11402;BLANCNET;2059;CRF REVISION;ENT;G;01.01.2004;31.12.2014;;Pasquier;P.;022 365'59'59;;;;-;-;-
11402;BLANCNET;18711;CRF FIDUCIAIRE CONSEILS;ENT;G;01.01.2015;;;;;;;;;;;
11487;JENNY ARCHITECTES;23458;MS FIDUCIAIRE MARC SUDAN;ETA;G;01.01.2015;;;;;;;;;;;
11626;AMANDA;56;SOFICO FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
11638;BIOTIQUE CONSEILS;12489;INTERCOMPTAS FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
11641;CLL COOPERATIVE LOGEMENT;19962;BERNEY TEMKO;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
11641;CLL COOPERATIVE LOGEMENT;522;FIREL BERNEY;ENT;G;01.01.2015;;;;;;;;;;;
11784;RUSUDA ETS;522;FIREL BERNEY;ENT;G;01.01.2015;;;;;;;;;;;
11872;CARLIN;9;FIDOC & PARTENAIRES FIDUCIAIRE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
11872;CARLIN;14621;FIDUCIAIRE SAUGY;ENT;G;01.01.2015;;;;;;;;;;;
11880;ORLEASE;50742;FIDUCIAIRE ALCANTAR;ENT;G;01.01.2015;;;;;;;;;;;
11998;SCHMIDT CAVE VALLON;11797;FIDUCIAIRE FIDAZED;ENT;G;01.01.2015;;;;;;;;;;;
12012;BMEF;6964;PB REVISION CONTROLE GESTION;ENT;G;01.01.2009;31.12.2014;;;;024 423'89'89;;;;;;
12012;BMEF;32851;CONSTRUCTION SERVICES;ENT;G;01.01.2015;;;;;;;;;;;
12073;BOULANGERIE PATISSERIE DURGNAT;9052;SBC FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
12086;EB HOLDING;22190;HUGGLER LEONARD;ETA;G;01.01.2015;;;;;;;;;;;
12126;MONTORFANO A;24035;GENEVAY CHRISTIAN;ETA;G;01.01.2015;;;;;;;;;;;
12326;FUCHS FRERES PAYERNE;959;STE CONTROLE FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
12420;TECHNO LENS;37256;FIDUCONSULT FIDYVER;ENT;G;01.01.2008;31.12.2015;;;;;;;;;;
12453;BOITABLOC;47482;ELBEFIN;ENT;G;01.01.2015;;;;;;;;;;;
12507;HEIMANN FERBLANTERIE;2087;FIDUCIAIRE COFIREX;ENT;G;01.01.2013;31.12.2014;;;;021 331'15'40;;;;;;
12519;DG CONSEILS;3260;;ETA;G;01.01.2015;;;;;;;;;;;
12527;FROMAGERIE BRASSUS;9274;FIDASOL;ENT;G;01.01.2015;;;;;;;;;;;
12696;PIZZERA POLETTI;583;FIDUCIAIRE AVONDO;ENT;G;01.01.2015;;;;;;;;;;;
12702;CHAUFFAREX;583;FIDUCIAIRE AVONDO;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
12996;BETTEMS FRERES;2047;FIDUCIAIRE LAMBELET FIDAL;ENT;G;01.01.2015;;;;;;;;;;;
13034;MINI GOLF BELLERIVE LAUSANNE;4621;SEF SOCIETE FIDUCIAIRE;ENT;G;01.01.2013;31.12.2014;;;;021 310'01'01;;;;;;
13034;MINI GOLF BELLERIVE LAUSANNE;63698;FIDUCIAIRE STAEHLI;ENT;G;01.01.2015;;;;;;;;;;;
13093;HABITATION GOURZE;57361;ROLAND SAVARY IMMOBILIER;ENT;G;01.01.2015;;;;;;;;;;;
13114;JUDO KWAI YVERDON;6964;PB REVISION CONTROLE GESTION;ENT;G;01.01.2015;;;;;;;;;;;
13210;AGENCE PRESSE ARC;9474;FIDUCIAIRE MARCEL PECLARD;ETA;G;01.01.2015;;;;;;;;;;;
13420;CENTRE SPORTS VILLARS;1905;FIDUCIAIRE TURRIAN;ENT;G;04.07.1995;31.12.2014;;;DC;024 496'31'71;;;;;;
13420;CENTRE SPORTS VILLARS;1108;FIDUCIAIRE INTERMANDAT;ENT;G;01.01.2015;;;;;;;;;;;
13557;LAITERIE BOFFLENS;16314;BFB CONSEIL FIDUCIAIRE;ENT;G;01.01.2011;31.12.2014;;;;021 641'46'46;;;;;;
13660;JURAGRI SOCIETE COOPERATIVE;27156;FIPROM;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
13851;ZERROD;52209;FM BUREAU COMPTABLE;ENT;G;01.01.2012;31.12.2014;;;;021 731'46'65;;;;;;
14069;CARROSSERIE BINGGELI;2059;CRF REVISION;ENT;G;16.04.1993;31.12.2014;;;PP;022 365'59'59;;;;;;
14069;CARROSSERIE BINGGELI;18711;CRF FIDUCIAIRE CONSEILS;ENT;G;01.01.2015;;;;;;;;;;;
14088;INTERHOBA MANAGEMENT;51599;FIDUCIAIRE FAVRE REVISION;ENT;G;01.01.2015;;;;;;;;;;;
14457;LEON JACCARD;60652;VFM CONSEIL;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
15106;GARAGE ULTRA;6520;ARIANE FIDUCIAIRE CUENEZ;ETA;G;01.01.2010;;;;;;;;;;;
15120;ABBAYE SYENS & ROSSENGES;39027;ACYGEST;ENT;G;01.01.2015;;;;;;;;;;;
15477;STEINER;22633;WENGER PLATTNER;ETA;G;01.01.2015;;;;;;;;;;;
15635;TCS TOURING CLUB SUISSE;149;FIDUCIAIRE MAILLARD;ENT;G;01.01.2015;;;;;;;;;;;
15666;TORMAX IFFLAND;149;FIDUCIAIRE MAILLARD;ENT;G;11.06.1993;31.12.2014;;;;021 340'72'72;;;;-;-;-
15666;TORMAX IFFLAND;31697;PRICEWATERHOUSECOOPERS;ENT;G;01.01.2015;;;;;;;;;;;
15667;BUTTY FLEURS JARDINS;19686;BUTTY GILBERT FIDUCIAIRE;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
15684;JAN AUTOS;1108;FIDUCIAIRE INTERMANDAT;ENT;G;01.01.2015;;;;;;;;;;;
